Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
946	82983	164	14482	164.0	78.83333333333333	14482.0	6915.25	943	62284	165	10890	165.0	78.58333333333333	10890.0	5190.333333333333	telnet
943	62284	165	10890	165.0	78.58333333333333	10890.0	5190.333333333333	782	68501	51	4274	51.0	71.0909090909091	4274.0	6227.363636363636	telnet
469	41170	86	7572	86.0	93.8	7572.0	8234.0	467	30838	86	5676	86.0	93.4	5676.0	6167.6	telnet
946	82983	164	14482	164.0	78.83333333333333	14482.0	6915.25	943	62284	165	10890	165.0	78.58333333333333	10890.0	5190.333333333333	telnet
943	62284	165	10890	165.0	78.58333333333333	10890.0	5190.333333333333	946	82983	164	14482	164.0	78.83333333333333	14482.0	6915.25	telnet
469	41170	86	7572	86.0	93.8	7572.0	8234.0	467	30838	86	5676	86.0	93.4	5676.0	6167.6	telnet
946	82983	164	14482	164.0	78.83333333333333	14482.0	6915.25	943	62284	165	10890	165.0	78.58333333333333	10890.0	5190.333333333333	telnet
981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	946	82983	164	14482	164.0	78.83333333333333	14482.0	6915.25	telnet
469	41170	86	7572	86.0	93.8	7572.0	8234.0	467	30838	86	5676	86.0	93.4	5676.0	6167.6	telnet
946	82983	164	14482	164.0	78.83333333333333	14482.0	6915.25	943	62284	165	10890	165.0	78.58333333333333	10890.0	5190.333333333333	telnet
981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	telnet
469	41170	86	7572	86.0	93.8	7572.0	8234.0	467	30838	86	5676	86.0	93.4	5676.0	6167.6	telnet
984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	943	62284	165	10890	165.0	78.58333333333333	10890.0	5190.333333333333	telnet
981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	telnet
469	41170	86	7572	86.0	93.8	7572.0	8234.0	467	30838	86	5676	86.0	93.4	5676.0	6167.6	telnet
984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	943	62284	165	10890	165.0	78.58333333333333	10890.0	5190.333333333333	telnet
981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	telnet
511	44906	42	3736	42.0	85.16666666666667	3736.0	7484.333333333333	467	30838	86	5676	86.0	93.4	5676.0	6167.6	telnet
